OrderNumber,OrderDate,CurrencyCode,_SalesAM_ID,_CustomerID,_SiteID,_ProductID,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 000139,6/3/2018,RWF,4,34,90,40,6,0.2,"3,497.40","1,958.54"
SO - 000140,6/3/2018,RWF,9,26,196,25,4,0.05,"1,132.30",486.89
SO - 000141,6/3/2018,RWF,7,26,40,2,7,0.05,"2,405.30","1,587.50"
SO - 000142,6/3/2018,RWF,24,24,367,3,8,0.05,"5,701.70","3,249.97"
SO - 000143,6/4/2018,RWF,25,18,249,34,1,0.2,"2,452.20","1,446.80"
SO - 000144,6/4/2018,RWF,11,21,6,11,3,0.05,"3,095.40","2,012.01"
SO - 000145,6/4/2018,RWF,15,14,212,8,4,0.4,"3,865.90","2,164.90"
SO - 000146,6/4/2018,RWF,23,3,37,11,8,0.1,"2,304.80","1,382.88"
SO - 000147,6/4/2018,RWF,17,13,38,35,3,0.05,"3,195.90","1,470.11"
SO - 000148,6/4/2018,RWF,18,49,294,33,7,0.05,"6,452.10","5,161.68"
SO - 000149,6/5/2018,RWF,24,4,105,16,3,0.3,"2,003.30",921.52
SO - 000150,6/5/2018,RWF,23,20,17,8,8,0.05,"3,638.10","1,455.24"
SO - 000151,6/5/2018,RWF,4,19,109,44,3,0.075,"2,278.00","1,822.40"
SO - 000152,6/5/2018,RWF,16,25,141,22,6,0.3,924.60,582.50
SO - 000153,6/5/2018,RWF,19,8,111,16,5,0.05,"3,926.20","3,062.44"
SO - 000154,6/5/2018,RWF,23,24,349,25,4,0.075,"3,825.70","2,257.16"
SO - 000155,6/5/2018,RWF,27,13,360,4,3,0.05,"2,257.90","1,377.32"
SO - 000156,6/6/2018,RWF,24,32,148,33,8,0.075,"1,112.20",756.30
SO - 000157,6/6/2018,RWF,19,28,103,45,8,0.05,"3,557.70","1,814.43"
SO - 000158,6/6/2018,RWF,13,8,59,45,3,0.4,"2,371.80","1,233.34"
SO - 000159,6/6/2018,RWF,14,47,60,1,1,0.4,857.60,686.08
SO - 000160,6/7/2018,RWF,11,33,238,20,5,0.3,"3,892.70","2,880.60"
SO - 000161,6/7/2018,RWF,3,26,151,21,6,0.075,"3,477.30","1,390.92"
SO - 000162,6/7/2018,RWF,13,20,152,44,5,0.1,"3,738.60","2,803.95"
SO - 000163,6/7/2018,RWF,20,6,262,8,5,0.3,"1,072.00",589.60
SO - 000164,6/7/2018,RWF,5,40,120,46,7,0.05,"2,257.90","1,761.16"
SO - 000165,6/7/2018,RWF,18,23,233,46,3,0.1,"1,058.60",751.61
SO - 000166,6/7/2018,RWF,13,38,77,39,4,0.1,"2,492.40","1,296.05"
SO - 000167,6/7/2018,RWF,4,30,69,11,5,0.05,"3,852.50","2,465.60"
SO - 000168,6/8/2018,RWF,23,42,215,37,8,0.05,241.20,132.66
SO - 000169,6/8/2018,RWF,9,1,30,35,2,0.15,"1,051.90",494.39
SO - 000170,6/8/2018,RWF,25,11,169,10,5,0.3,227.80,107.07
SO - 000171,6/8/2018,RWF,24,4,333,14,5,0.05,"1,078.70",506.99
SO - 000172,6/8/2018,RWF,28,6,96,10,8,0.15,"1,005.00",743.70
SO - 000173,6/8/2018,RWF,24,17,289,45,5,0.05,"2,485.70","1,317.42"
SO - 000174,6/8/2018,RWF,3,7,140,22,3,0.05,"2,659.90","2,154.52"
SO - 000175,6/9/2018,RWF,1,1,107,1,1,0.075,"2,224.40","1,579.32"
SO - 000176,6/9/2018,RWF,11,27,338,35,7,0.2,"2,472.30","1,260.87"
SO - 000177,6/9/2018,RWF,5,33,232,15,5,0.05,"1,011.70",799.24
SO - 000178,6/9/2018,RWF,26,28,231,28,6,0.2,234.50,128.98
SO - 000179,6/9/2018,RWF,13,42,158,11,4,0.075,261.30,143.72
SO - 000180,6/9/2018,RWF,18,5,36,29,7,0.1,"4,006.60","2,844.69"
SO - 000181,6/9/2018,RWF,3,10,206,28,7,0.05,"1,333.30",866.65
SO - 000182,6/10/2018,RWF,10,34,255,15,5,0.05,167.50,90.45
SO - 000183,6/10/2018,RWF,14,23,336,27,7,0.075,"3,195.90","1,821.66"
SO - 000184,6/10/2018,RWF,20,18,307,15,1,0.05,"1,051.90",809.96
SO - 000185,6/10/2018,RWF,15,8,9,28,4,0.1,"5,447.10","3,540.62"
SO - 000186,6/10/2018,RWF,13,36,200,18,2,0.075,"3,182.50","1,973.15"
SO - 000187,6/11/2018,RWF,6,47,337,30,3,0.1,891.10,632.68
SO - 000188,6/11/2018,RWF,15,27,158,31,2,0.2,"3,892.70","2,724.89"
SO - 000189,6/11/2018,RWF,13,5,249,8,2,0.4,"3,953.00","3,360.05"
SO - 000190,6/11/2018,RWF,20,38,185,5,2,0.3,924.60,545.51
SO - 000191,6/11/2018,RWF,20,21,189,10,7,0.3,"3,430.40","1,989.63"
SO - 000192,6/11/2018,RWF,22,24,170,43,7,0.075,"1,152.40",622.30
SO - 000193,6/11/2018,RWF,21,25,130,37,4,0.1,"1,085.40",922.59
SO - 000194,6/12/2018,RWF,5,11,149,15,5,0.1,"5,031.70","4,025.36"
SO - 000195,6/12/2018,RWF,24,17,99,33,7,0.15,"1,092.10",436.84
SO - 000196,6/12/2018,RWF,27,5,21,17,7,0.05,187.60,144.45
SO - 000197,6/12/2018,RWF,18,30,90,1,4,0.05,"3,993.20","2,835.17"
SO - 000198,6/12/2018,RWF,14,9,360,15,5,0.05,"2,472.30","1,433.93"
SO - 000199,6/12/2018,RWF,4,47,23,47,4,0.05,"1,206.00",844.20
SO - 000200,6/12/2018,RWF,20,5,144,40,5,0.05,"1,728.60",985.30
SO - 000201,6/12/2018,RWF,28,23,134,23,7,0.075,"1,983.20","1,447.74"
SO - 000202,6/12/2018,RWF,20,14,180,11,2,0.2,"5,313.10","2,656.55"
SO - 000203,6/12/2018,RWF,20,44,58,23,5,0.075,871.00,566.15
SO - 000204,6/13/2018,RWF,12,38,175,43,2,0.1,"2,532.60","2,051.41"
SO - 000205,6/13/2018,RWF,14,14,95,1,4,0.075,"5,916.10","4,673.72"
SO - 000206,6/13/2018,RWF,13,34,231,31,1,0.075,"2,887.70","1,443.85"
SO - 000207,6/13/2018,RWF,1,13,199,11,7,0.1,"1,855.90","1,447.60"
SO - 000208,6/13/2018,RWF,2,5,58,39,5,0.1,207.70,135.01
SO - 000209,6/13/2018,RWF,2,2,345,3,3,0.05,"1,058.60",772.78
SO - 000210,6/13/2018,RWF,13,17,241,20,7,0.1,958.10,517.37
SO - 000211,6/13/2018,RWF,6,40,186,27,7,0.2,"2,659.90","1,675.74"
SO - 000212,6/13/2018,RWF,7,15,144,8,3,0.1,"2,217.70","1,707.63"
SO - 000213,6/14/2018,RWF,20,12,40,11,1,0.3,"1,715.20",857.60
SO - 000214,6/14/2018,RWF,6,25,288,32,7,0.15,"3,932.90","1,691.15"
SO - 000215,6/14/2018,RWF,2,13,169,40,2,0.05,"2,546.00","1,909.50"
SO - 000216,6/14/2018,RWF,15,18,277,21,1,0.075,837.50,603.00
SO - 000217,6/14/2018,RWF,16,3,219,12,3,0.15,"1,809.00","1,302.48"
SO - 000218,6/14/2018,RWF,26,25,306,11,8,0.075,857.60,514.56
SO - 000219,6/14/2018,RWF,8,11,7,22,6,0.05,"1,748.70","1,101.68"
SO - 000220,6/14/2018,RWF,28,44,78,4,1,0.075,"1,266.30",582.50
SO - 000221,6/14/2018,RWF,3,30,28,9,5,0.1,"5,058.50","3,591.54"
SO - 000222,6/14/2018,RWF,22,38,39,6,7,0.05,958.10,795.22
SO - 000223,6/14/2018,RWF,19,47,122,2,8,0.15,"1,802.30",756.97
SO - 000224,6/15/2018,RWF,4,17,48,32,4,0.075,"6,298.00","4,534.56"
SO - 000225,6/15/2018,RWF,18,28,1,30,1,0.1,"2,499.10","1,824.34"
SO - 000226,6/15/2018,RWF,8,5,198,23,3,0.1,871.00,705.51
SO - 000227,6/15/2018,RWF,1,32,242,5,1,0.05,750.40,360.19
SO - 000228,6/15/2018,RWF,27,21,200,14,8,0.075,763.80,504.11
SO - 000229,6/15/2018,RWF,5,49,304,25,6,0.1,844.20,565.61
SO - 000230,6/15/2018,RWF,2,6,31,27,7,0.05,261.30,112.36
SO - 000231,6/15/2018,RWF,19,47,71,33,2,0.05,"3,999.90","2,359.94"
SO - 000232,6/15/2018,RWF,4,32,250,18,6,0.05,"1,112.20",811.91
SO - 000233,6/15/2018,RWF,10,18,167,2,2,0.075,"2,633.10","1,843.17"
SO - 000234,6/15/2018,RWF,22,8,132,4,6,0.2,"1,018.40",631.41
SO - 000235,6/15/2018,RWF,1,24,56,21,4,0.15,"5,219.30","3,444.74"
SO - 000236,6/15/2018,RWF,21,11,259,26,1,0.15,"3,999.90","2,359.94"
SO - 000237,6/16/2018,RWF,20,50,341,25,5,0.4,"1,721.90","1,084.80"
SO - 000238,6/16/2018,RWF,10,7,195,37,6,0.15,737.00,456.94
SO - 000239,6/16/2018,RWF,19,2,33,40,3,0.05,"1,219.40",695.06
SO - 000240,6/16/2018,RWF,2,18,279,41,8,0.05,891.10,712.88
SO - 000241,6/16/2018,RWF,7,28,148,9,1,0.15,978.20,743.43
SO - 000242,6/16/2018,RWF,11,47,170,17,1,0.15,"3,946.30","1,657.45"
SO - 000243,6/16/2018,RWF,3,27,181,38,2,0.4,"1,299.80",922.86
SO - 000244,6/17/2018,RWF,19,21,77,12,4,0.05,"5,815.60","2,791.49"
SO - 000245,6/17/2018,RWF,3,43,122,23,6,0.15,"1,092.10",655.26
SO - 000246,6/17/2018,RWF,24,42,36,18,6,0.15,"1,072.00",643.20
SO - 000247,6/17/2018,RWF,17,34,217,16,5,0.05,"4,020.00","2,653.20"
SO - 000248,6/17/2018,RWF,20,37,63,12,4,0.15,984.90,669.73
SO - 000249,6/17/2018,RWF,21,50,341,7,7,0.05,227.80,100.23
SO - 000250,6/17/2018,RWF,3,17,36,35,3,0.15,"3,993.20","3,314.36"
SO - 000251,6/17/2018,RWF,12,25,163,26,4,0.075,221.10,185.72
SO - 000252,6/18/2018,RWF,12,21,101,43,6,0.075,"3,356.70","2,819.63"
SO - 000253,6/18/2018,RWF,1,35,321,12,1,0.05,"1,701.80","1,157.22"
SO - 000254,6/18/2018,RWF,3,9,276,8,3,0.15,"2,566.10","2,181.19"
SO - 000255,6/18/2018,RWF,6,22,101,5,4,0.05,221.10,126.03
SO - 000256,6/18/2018,RWF,5,28,248,4,1,0.1,"1,782.20",980.21
SO - 000257,6/18/2018,RWF,24,41,95,35,8,0.05,"2,003.30",801.32
SO - 000258,6/18/2018,RWF,20,28,33,5,5,0.075,"2,385.20","1,502.68"
SO - 000259,6/18/2018,RWF,13,22,12,21,1,0.1,"2,231.10","1,784.88"
SO - 000260,6/18/2018,RWF,10,26,119,35,1,0.05,"1,005.00",412.05
SO - 000261,6/18/2018,RWF,23,12,290,40,7,0.05,"2,693.40","1,939.25"
SO - 000262,6/18/2018,RWF,17,31,110,36,4,0.075,"1,105.50",652.25
SO - 000263,6/19/2018,RWF,17,25,87,39,1,0.075,"1,909.50","1,088.42"
SO - 000264,6/19/2018,RWF,21,35,177,38,7,0.2,"1,118.90",850.36
SO - 000265,6/19/2018,RWF,11,45,94,8,7,0.2,"1,038.50",758.11
SO - 000266,6/19/2018,RWF,1,19,126,19,6,0.05,"6,324.80","4,300.86"
SO - 000267,6/19/2018,RWF,3,16,17,9,7,0.2,"1,005.00",502.50
SO - 000268,6/19/2018,RWF,3,15,178,2,5,0.075,"1,293.10",659.48
SO - 000269,6/19/2018,RWF,1,8,76,36,6,0.4,844.20,540.29
SO - 000270,6/19/2018,RWF,6,27,318,1,4,0.05,247.90,195.84
SO - 000271,6/19/2018,RWF,21,12,217,21,7,0.3,174.20,139.36
SO - 000272,6/20/2018,RWF,2,30,278,12,6,0.1,"1,025.10",707.32
SO - 000273,6/20/2018,RWF,21,19,341,23,3,0.15,"3,068.60","2,301.45"
SO - 000274,6/20/2018,RWF,16,44,122,3,2,0.075,241.20,115.78
SO - 000275,6/20/2018,RWF,11,24,200,47,1,0.2,174.20,139.36
SO - 000276,6/20/2018,RWF,3,10,30,37,2,0.2,"2,505.80","1,804.18"
SO - 000277,6/20/2018,RWF,25,35,233,31,7,0.15,"2,599.60","1,637.75"
SO - 000278,6/20/2018,RWF,18,38,151,28,6,0.15,"2,278.00","1,503.48"
SO - 000279,6/21/2018,RWF,24,31,353,25,2,0.075,"1,092.10",589.73
SO - 000280,6/21/2018,RWF,25,40,43,7,5,0.2,"1,139.00",933.98
SO - 000281,6/21/2018,RWF,4,9,339,47,2,0.15,"1,675.00","1,072.00"
SO - 000282,6/21/2018,RWF,26,41,228,26,2,0.05,"1,011.70",687.96
SO - 000283,6/21/2018,RWF,27,11,128,46,7,0.1,938.00,412.72
SO - 000284,6/21/2018,RWF,28,48,55,2,8,0.05,"2,566.10","1,052.10"
SO - 000285,6/22/2018,RWF,24,4,177,33,5,0.1,871.00,374.53
SO - 000286,6/22/2018,RWF,2,4,81,18,1,0.1,"2,485.70","1,789.70"
SO - 000287,6/22/2018,RWF,1,40,365,41,4,0.4,"2,345.00","1,922.90"
SO - 000288,6/22/2018,RWF,15,19,48,27,2,0.05,"1,118.90",749.66
SO - 000289,6/22/2018,RWF,11,24,11,42,4,0.1,"1,996.60","1,397.62"
SO - 000290,6/22/2018,RWF,11,6,127,39,1,0.075,710.20,390.61
SO - 000291,6/22/2018,RWF,13,6,201,35,4,0.05,"3,979.80","1,790.91"
SO - 000292,6/22/2018,RWF,8,9,339,28,3,0.075,"1,025.10",440.79
SO - 000293,6/22/2018,RWF,3,3,198,9,7,0.2,"2,519.20","1,309.98"
SO - 000294,6/22/2018,RWF,15,36,150,2,7,0.05,"5,031.70","3,471.87"
SO - 000295,6/23/2018,RWF,19,27,311,46,1,0.1,"1,829.10",768.22
SO - 000296,6/23/2018,RWF,5,29,304,25,5,0.075,"1,072.00",900.48
SO - 000297,6/23/2018,RWF,5,11,247,32,1,0.2,"2,539.30","1,828.30"
SO - 000298,6/23/2018,RWF,11,24,265,41,1,0.075,"3,899.40","2,027.69"
SO - 000299,6/24/2018,RWF,5,38,366,37,3,0.2,"5,045.10","3,380.22"
SO - 000300,6/24/2018,RWF,19,38,125,14,8,0.05,"1,005.00",522.60
SO - 000301,6/24/2018,RWF,27,20,182,47,7,0.1,"2,438.80","1,219.40"
SO - 000302,6/25/2018,RWF,11,46,152,24,4,0.3,"3,336.60","2,035.33"
SO - 000303,6/25/2018,RWF,1,38,256,25,4,0.15,"1,098.80",857.06
SO - 000304,6/25/2018,RWF,19,5,66,20,2,0.075,"1,902.80",970.43
SO - 000305,6/25/2018,RWF,17,32,156,33,4,0.075,"3,477.30","2,190.70"
SO - 000306,6/26/2018,RWF,26,36,200,10,1,0.1,"2,599.60","1,481.77"
SO - 000307,6/26/2018,RWF,12,1,299,7,1,0.075,"1,078.70",506.99
SO - 000308,6/26/2018,RWF,17,22,199,31,5,0.2,"1,045.20",533.05
SO - 000309,6/26/2018,RWF,15,21,157,1,2,0.05,"1,125.60",787.92
SO - 000310,6/26/2018,RWF,1,14,187,22,8,0.05,"1,105.50",762.80
SO - 000311,6/26/2018,RWF,18,50,84,46,1,0.1,"2,606.30","1,668.03"
SO - 000312,6/26/2018,RWF,22,41,228,25,8,0.075,227.80,95.68
SO - 000313,6/26/2018,RWF,22,35,180,29,7,0.05,167.50,123.95
SO - 000314,6/26/2018,RWF,7,21,250,16,3,0.1,"1,145.70",538.48
SO - 000315,6/26/2018,RWF,4,37,326,36,7,0.075,"2,599.60","2,157.67"
SO - 000316,6/27/2018,RWF,24,14,136,18,1,0.05,"3,939.60","1,969.80"
SO - 000317,6/27/2018,RWF,2,18,112,37,8,0.075,"2,881.00","1,584.55"
SO - 000318,6/27/2018,RWF,3,22,108,43,2,0.05,"3,852.50","2,003.30"
SO - 000319,6/27/2018,RWF,27,48,56,42,2,0.05,"1,139.00",546.72
SO - 000320,6/27/2018,RWF,23,7,195,25,4,0.05,"2,519.20","2,040.55"
SO - 000321,6/27/2018,RWF,9,33,82,42,1,0.15,"1,192.60",703.63
SO - 000322,6/27/2018,RWF,5,18,215,14,5,0.075,"2,412.00","1,013.04"
SO - 000323,6/27/2018,RWF,9,6,134,47,7,0.05,"2,479.00","2,057.57"
SO - 000324,6/27/2018,RWF,26,10,322,35,7,0.1,"1,956.40","1,330.35"
SO - 000325,6/27/2018,RWF,15,4,176,42,5,0.3,"1,078.70",722.73
SO - 000326,6/27/2018,RWF,6,22,70,26,1,0.075,"1,212.70",945.91
SO - 000327,6/27/2018,RWF,18,48,252,29,5,0.075,978.20,821.69
SO - 000328,6/27/2018,RWF,4,28,275,45,3,0.05,174.20,120.20
SO - 000329,6/27/2018,RWF,19,25,226,17,3,0.15,"1,125.60",630.34
SO - 000330,6/28/2018,RWF,20,49,288,6,6,0.15,"1,065.30",468.73
SO - 000331,6/28/2018,RWF,15,11,60,12,5,0.075,"3,892.70","2,724.89"
SO - 000332,6/28/2018,RWF,17,19,297,9,2,0.3,207.70,120.47
SO - 000333,6/28/2018,RWF,3,20,75,23,7,0.3,"1,185.90",948.72
SO - 000334,6/28/2018,RWF,10,15,352,18,2,0.15,"2,586.20","1,629.31"
SO - 000335,6/28/2018,RWF,8,26,25,30,4,0.3,"2,579.50","1,960.42"
SO - 000336,6/28/2018,RWF,16,7,23,36,8,0.075,"6,378.40","2,806.50"
SO - 000337,6/28/2018,RWF,24,26,292,31,7,0.2,"3,008.30","2,226.14"
SO - 000338,6/28/2018,RWF,11,49,140,20,3,0.075,"1,755.40",930.36
SO - 000339,6/28/2018,RWF,13,28,171,14,8,0.075,"1,139.00",740.35
SO - 000340,6/28/2018,RWF,11,46,44,38,5,0.075,"6,157.30","4,556.40"
SO - 000341,6/28/2018,RWF,18,33,43,40,7,0.1,"2,231.10","1,093.24"
SO - 000342,6/28/2018,RWF,11,23,64,8,7,0.1,"2,479.00","1,859.25"
SO - 000343,6/29/2018,RWF,21,35,18,10,4,0.05,"6,391.80","4,793.85"
SO - 000344,6/29/2018,RWF,27,4,263,39,2,0.05,"1,139.00",660.62
SO - 000345,6/29/2018,RWF,20,38,196,36,3,0.1,"2,586.20","1,681.03"
SO - 000346,6/29/2018,RWF,1,36,206,35,4,0.05,"3,899.40","1,871.71"
SO - 000347,6/29/2018,RWF,8,25,80,43,8,0.05,951.40,599.38
SO - 000348,6/30/2018,RWF,4,8,172,38,1,0.05,"5,607.90","3,476.90"
SO - 000349,6/30/2018,RWF,6,12,274,37,2,0.075,"1,165.80",827.72
SO - 000350,6/30/2018,RWF,16,17,277,44,2,0.05,"1,949.70","1,520.77"
SO - 000351,6/30/2018,RWF,21,40,147,34,8,0.1,"3,685.00","2,690.05"
SO - 000352,6/30/2018,RWF,20,3,332,17,2,0.4,"2,633.10","1,816.84"
SO - 000353,6/30/2018,RWF,19,26,274,23,1,0.075,"1,072.00",460.96
SO - 000354,6/30/2018,RWF,1,38,33,8,1,0.075,"3,537.60","1,910.30"
SO - 000355,6/30/2018,RWF,9,41,233,13,8,0.2,"1,092.10",622.50
SO - 000356,6/30/2018,RWF,12,17,262,5,4,0.05,"1,748.70","1,136.66"
SO - 000357,6/30/2018,RWF,18,49,6,9,8,0.075,891.10,739.61
SO - 000358,6/30/2018,RWF,2,41,159,23,5,0.05,"3,082.00","1,510.18"
SO - 000359,6/30/2018,RWF,9,34,148,15,5,0.075,"1,125.60",776.66
SO - 000360,6/30/2018,RWF,7,46,102,22,6,0.075,"1,252.90",651.51
SO - 000361,7/1/2018,RWF,28,44,362,45,1,0.075,837.50,527.63
SO - 000362,7/1/2018,RWF,25,21,295,40,1,0.075,"1,031.80",773.85
SO - 000363,7/1/2018,RWF,14,7,256,28,4,0.15,"2,385.20","1,454.97"
SO - 000364,7/1/2018,RWF,1,48,154,30,2,0.05,"1,802.30","1,153.47"
SO - 000365,7/1/2018,RWF,26,40,270,27,5,0.05,"1,018.40",753.62
SO - 000366,7/1/2018,RWF,13,35,102,40,7,0.4,"3,946.30","1,815.30"
SO - 000367,7/1/2018,RWF,9,21,131,15,7,0.2,"3,953.00","2,095.09"
SO - 000368,7/2/2018,RWF,11,1,160,33,6,0.075,"5,098.70","3,416.13"
SO - 000369,7/2/2018,RWF,15,9,347,5,8,0.075,"3,758.70","1,954.52"
SO - 000370,7/2/2018,RWF,24,9,45,18,7,0.15,911.20,610.50
SO - 000371,7/2/2018,RWF,21,26,238,22,3,0.4,904.50,379.89
SO - 000372,7/2/2018,RWF,18,21,128,5,3,0.05,911.20,410.04
SO - 000373,7/2/2018,RWF,19,6,39,21,5,0.3,227.80,134.40
SO - 000374,7/2/2018,RWF,3,14,69,40,4,0.075,254.60,117.12
SO - 000375,7/2/2018,RWF,27,33,29,35,3,0.075,683.40,444.21
SO - 000376,7/3/2018,RWF,4,43,159,20,7,0.05,"3,919.50","2,234.12"
SO - 000377,7/3/2018,RWF,26,25,353,12,8,0.05,"1,092.10",786.31
SO - 000378,7/4/2018,RWF,4,10,199,20,4,0.05,924.60,536.27
SO - 000379,7/4/2018,RWF,17,45,182,22,8,0.05,"1,018.40",794.35
SO - 000380,7/4/2018,RWF,1,19,358,13,7,0.2,"1,788.90","1,305.90"
SO - 000381,7/4/2018,RWF,23,17,80,47,2,0.3,944.70,538.48
SO - 000382,7/4/2018,RWF,25,39,140,29,3,0.1,"3,959.70","2,573.81"
SO - 000383,7/4/2018,RWF,6,11,146,41,5,0.05,167.50,70.35
SO - 000384,7/4/2018,RWF,25,23,104,22,2,0.05,"3,872.60","1,975.03"
SO - 000385,7/4/2018,RWF,12,12,185,23,8,0.05,"6,539.20","3,858.13"
SO - 000386,7/4/2018,RWF,23,44,51,6,1,0.1,"1,025.10",779.08
SO - 000387,7/4/2018,RWF,21,31,190,29,3,0.1,938.00,572.18
SO - 000388,7/4/2018,RWF,26,19,355,27,3,0.075,"1,045.20",804.80
SO - 000389,7/4/2018,RWF,28,20,205,19,8,0.15,167.50,112.23
SO - 000390,7/4/2018,RWF,15,44,334,45,5,0.075,"1,721.90","1,377.52"
SO - 000391,7/5/2018,RWF,13,30,242,28,3,0.1,676.70,466.92
SO - 000392,7/5/2018,RWF,4,47,162,24,2,0.075,167.50,82.08
SO - 000393,7/5/2018,RWF,4,26,255,12,5,0.075,"1,118.90",895.12
SO - 000394,7/5/2018,RWF,26,17,24,32,3,0.075,"1,139.00",933.98
SO - 000395,7/5/2018,RWF,8,44,278,41,4,0.1,"1,748.70",751.94
SO - 000396,7/5/2018,RWF,5,13,258,27,8,0.05,"1,728.60","1,140.88"
SO - 000397,7/5/2018,RWF,27,13,183,23,8,0.075,"1,112.20",500.49
SO - 000398,7/5/2018,RWF,3,9,58,1,6,0.05,"2,385.20","1,454.97"
SO - 000399,7/5/2018,RWF,26,18,83,3,8,0.3,221.10,172.46
SO - 000400,7/6/2018,RWF,23,1,120,29,7,0.05,"5,708.40","2,682.95"
SO - 000401,7/6/2018,RWF,18,38,288,40,1,0.3,"1,038.50",830.80
SO - 000402,7/6/2018,RWF,5,43,19,35,4,0.15,"3,993.20","3,234.49"
SO - 000403,7/6/2018,RWF,16,14,191,33,8,0.2,"1,085.40",792.34
SO - 000404,7/6/2018,RWF,12,36,278,23,7,0.1,"3,886.00","2,020.72"
SO - 000405,7/6/2018,RWF,6,21,294,4,3,0.2,"3,986.50","2,670.96"
SO - 000406,7/6/2018,RWF,18,41,120,32,3,0.075,"1,206.00",988.92
SO - 000407,7/7/2018,RWF,28,38,357,7,1,0.3,"1,842.50","1,050.23"
SO - 000408,7/7/2018,RWF,27,22,296,35,3,0.05,"5,051.80","2,930.04"
SO - 000409,7/7/2018,RWF,14,4,248,39,1,0.075,"1,165.80",466.32
SO - 000410,7/7/2018,RWF,15,21,333,2,8,0.075,"3,966.40","2,340.18"
SO - 000411,7/7/2018,RWF,13,17,322,22,3,0.2,"1,802.30","1,495.91"
SO - 000412,7/8/2018,RWF,19,36,153,31,5,0.075,"1,105.50",851.24
SO - 000413,7/8/2018,RWF,12,16,46,32,7,0.05,"1,889.40","1,398.16"
SO - 000414,7/8/2018,RWF,15,40,351,4,7,0.075,"1,018.40",661.96
SO - 000415,7/8/2018,RWF,3,8,293,40,5,0.05,"3,865.90","2,822.11"
